설비번호,시퀀스,컨베이어전류,회전A전류,회전B전류,펌프A전류,펌프B전류
1,1,0.0,0.0523,0.7037,0.0125,0.0
1,2,0.0,0.0523,0.7037,0.0115,0.0
1,3,0.0,0.0523,0.7037,0.0102,0.0
1,4,0.0,0.0523,0.7037,0.01,0.0
1,5,0.0,0.0523,0.7037,0.01,0.0
1,6,0.0,0.0522,0.7037,0.01,0.0
1,7,0.0,0.0523,0.7037,0.01,0.0
1,8,0.0,0.0523,0.7037,0.01,0.0
1,9,0.0,0.0523,0.7037,0.01,0.0
1,10,0.0,0.0523,0.7037,0.01,0.0
1,11,0.0,0.0518,0.7037,0.01,0.0
1,12,0.0,0.0523,0.7037,0.01,0.0
1,13,0.0,0.0523,0.7037,0.01,0.0
1,14,0.0,0.0523,0.7037,0.0101,0.0
1,15,0.0,0.0523,0.7037,0.0116,0.0
1,16,0.0,0.0523,0.7037,0.0132,0.0
1,17,0.0,0.0523,0.7037,0.0141,0.0
1,18,0.0,0.0523,0.7037,0.0141,0.0
1,19,0.0,0.0523,0.7037,0.0141,0.0
1,20,0.0,0.0523,0.7037,0.0141,0.0
1,21,0.0,0.0523,0.7037,0.0138,0.0
1,22,0.0,0.0523,0.7037,0.0125,0.0
1,23,0.0,0.0523,0.7037,0.0103,0.0
1,24,0.0,0.0523,0.7037,0.0101,0.0
1,25,0.0,0.0523,0.7037,0.0101,0.0
1,26,0.0,0.0523,0.7037,0.01,0.0
1,27,0.0,0.0522,0.7037,0.0101,0.0
1,28,0.0,0.0523,0.7037,0.0101,0.0
1,29,0.0,0.0523,0.7037,0.0101,0.0
1,30,0.0,0.0523,0.7037,0.0101,0.0
1,31,0.0,0.0523,0.7037,0.0108,0.0
1,32,0.0,0.0523,0.7037,0.0121,0.0
1,33,0.0,0.0523,0.7037,0.0133,0.0
1,34,0.0,0.0519,0.7037,0.014,0.0
1,35,0.0,0.0523,0.7037,0.0139,0.0
1,36,0.0,0.0523,0.7037,0.0139,0.0
1,37,0.0,0.0523,0.7037,0.0139,0.0
1,38,0.0,0.052,0.7037,0.0132,0.0
1,39,0.0,0.0523,0.7037,0.0116,0.0
1,40,0.0,0.0523,0.7037,0.0102,0.0
1,41,0.0,0.0523,0.7037,0.0101,0.0
1,42,0.0,0.0523,0.7037,0.0101,0.0
1,43,0.0,0.0504,0.6799,0.0101,0.0
1,44,0.0,0.0496,0.6723,0.0101,0.0
1,45,0.0,0.0496,0.6667,0.0101,0.0
1,46,0.0,0.0496,0.6688,0.0101,0.0
1,47,0.0,0.0496,0.6667,0.0101,0.0
1,48,0.0,0.0496,0.6751,0.0101,0.0
1,49,0.0,0.0496,0.6674,0.0101,0.0
1,50,0.0,0.0496,0.6701,0.0106,0.0
1,51,0.0,0.0496,0.6797,0.0109,0.0
1,52,0.0,0.0504,0.6932,0.0114,0.0
1,53,0.0,0.0501,0.6846,0.012,0.0
1,54,0.0,0.0496,0.6855,0.0129,0.0
1,55,0.0,0.0496,0.6709,0.0136,0.0
1,56,0.0,0.0496,0.6667,0.0141,0.0
1,57,0.0,0.0496,0.6688,0.0141,0.0
1,58,0.0,0.0496,0.6684,0.0141,0.0
1,59,0.0,0.0496,0.6667,0.0141,0.0
1,60,0.0,0.0496,0.6667,0.0137,0.0
1,61,0.0,0.0496,0.6756,0.0122,0.0
1,62,0.0,0.0496,0.6695,0.0104,0.0
1,63,0.0,0.0497,0.6904,0.0101,0.0
1,64,0.0,0.0508,0.7037,0.01,0.0
1,65,0.0,0.05,0.6941,0.01,0.0
1,66,0.0,0.05,0.6904,0.01,0.0
1,67,0.0,0.0499,0.696,0.01,0.0
1,68,0.0,0.0496,0.6914,0.01,0.0
1,69,0.0,0.0496,0.6799,0.01,0.0
1,70,0.0,0.0498,0.6855,0.01,0.0
1,71,0.0,0.0499,0.6981,0.01,0.0
1,72,0.0,0.0502,0.7037,0.01,0.0
1,73,0.0,0.0504,0.701,0.01,0.0
1,74,0.0,0.0506,0.7037,0.0101,0.0
1,75,0.0,0.0515,0.7037,0.0106,0.0
1,76,0.0,0.0523,0.7037,0.0111,0.0
1,77,0.0,0.0522,0.7037,0.0118,0.0
1,78,0.0,0.0522,0.7037,0.0125,0.0
1,79,0.0,0.0514,0.6988,0.013,0.0
1,80,0.0,0.0507,0.7016,0.0132,0.0
1,81,0.0,0.0514,0.7037,0.0133,0.0
1,82,0.0,0.051,0.7037,0.0131,0.0
1,83,0.0,0.0516,0.7037,0.0126,0.0
1,84,0.0,0.0513,0.7037,0.012,0.0
1,85,0.0,0.052,0.7037,0.0113,0.0
1,86,0.0,0.0522,0.7037,0.0101,0.0
1,87,0.0,0.0521,0.7037,0.01,0.0
1,88,0.0,0.0523,0.7037,0.01,0.0
1,89,0.0,0.0523,0.7037,0.01,0.0
1,90,0.0,0.0522,0.7037,0.01,0.0
1,91,0.0,0.0518,0.7037,0.01,0.0
1,92,0.0,0.0518,0.7037,0.01,0.0
1,93,0.0,0.052,0.7037,0.01,0.0
1,94,0.0,0.0521,0.7037,0.01,0.0
1,95,0.0,0.0522,0.7037,0.0102,0.0
1,96,0.0,0.0513,0.7037,0.0114,0.0
1,97,0.0,0.0521,0.7037,0.013,0.0
1,98,0.0,0.0523,0.7037,0.0139,0.0
1,99,0.0,0.0522,0.7037,0.0139,0.0
1,100,0.0,0.0523,0.7037,0.0138,0.0
1,101,0.0,0.0519,0.7037,0.0138,0.0
1,102,0.0,0.0522,0.7037,0.0138,0.0
1,103,0.0,0.0513,0.7037,0.0139,0.0
1,104,0.0,0.0517,0.7037,0.0139,0.0
1,105,0.0,0.0521,0.7037,0.0139,0.0
1,106,0.0,0.0513,0.7016,0.0125,0.0
1,107,0.0,0.0515,0.7037,0.0103,0.0
1,108,0.0,0.0523,0.7037,0.01,0.0
1,109,0.0,0.0518,0.7037,0.01,0.0
1,110,0.0,0.0518,0.7037,0.01,0.0
1,111,0.0,0.0503,0.6939,0.01,0.0
1,112,0.0,0.0507,0.7037,0.01,0.0
1,113,0.0,0.051,0.7037,0.01,0.0
