unit_id,cycle,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_15,RUL
1,1,641.533,1588.007,1405.656,553.023,46.875,8.405,146
1,2,641.861,1584.947,1394.917,554.436,47.396,8.403,145
1,3,642.513,1586.896,1394.908,554.178,46.963,8.436,144
1,4,641.986,1584.301,1396.013,554.601,47.165,8.384,143
1,5,641.853,1587.186,1402.331,554.193,47.313,8.487,142
1,6,641.832,1583.025,1395.299,554.29,47.49,8.397,141
1,7,641.641,1581.796,1404.132,554.349,47.345,8.375,140
1,8,642.127,1585.581,1401.591,554.408,47.267,8.429,139
1,9,642.058,1586.293,1404.121,553.238,47.134,8.384,138
1,10,641.744,1584.059,1409.36,553.528,47.458,8.336,137
1,11,641.886,1585.835,1403.968,554.311,47.417,8.39,136
1,12,641.834,1588.642,1399.365,553.311,46.938,8.367,135
1,13,642.271,1585.806,1404.721,553.729,47.263,8.43,134
1,14,641.914,1587.092,1396.675,553.754,47.131,8.357,133
1,15,642.278,1583.416,1400.792,554.169,47.341,8.432,132
1,16,642.02,1583.63,1400.312,553.077,46.871,8.354,131
1,17,641.622,1586.953,1395.432,553.724,47.56,8.393,130
1,18,642.409,1581.651,1399.71,553.431,47.154,8.441,129
1,19,641.306,1587.156,1402.449,553.601,46.88,8.411,128
1,20,641.852,1586.382,1401.235,554.69,47.185,8.368,127
1,21,642.178,1586.366,1409.343,554.299,47.338,8.468,126
1,22,641.569,1582.962,1395.714,553.678,46.908,8.436,125
1,23,642.011,1579.674,1395.268,554.021,47.465,8.491,124
1,24,643.43,1587.251,1395.514,552.789,47.326,8.379,123
1,25,641.939,1583.183,1400.698,554.379,47.302,8.406,122
1,26,641.668,1578.971,1398.719,553.809,47.709,8.419,121
1,27,642.584,1583.711,1394.622,553.344,47.09,8.499,120
1,28,641.78,1589.102,1396.411,554.283,47.371,8.409,119
1,29,642.139,1583.169,1404.604,553.58,46.972,8.365,118
1,30,642.244,1592.146,1402.988,553.738,47.354,8.469,117
1,31,642.273,1584.228,1408.768,554.001,47.671,8.425,116
1,32,641.632,1580.441,1412.14,554.638,47.247,8.403,115
1,33,642.849,1581.529,1396.972,554.088,47.197,8.419,114
1,34,642.127,1587.351,1410.892,553.801,47.461,8.338,113
1,35,642.187,1582.673,1395.243,553.305,47.221,8.458,112
1,36,641.621,1586.213,1399.761,553.57,47.56,8.443,111
1,37,642.829,1585.518,1398.602,553.61,47.374,8.43,110
1,38,641.749,1586.545,1404.261,554.97,47.787,8.39,109
1,39,642.117,1580.376,1399.462,553.857,47.624,8.395,108
1,40,641.961,1577.688,1402.147,553.157,47.195,8.39,107
1,41,642.223,1579.295,1394.438,554.741,47.011,8.383,106
1,42,643.102,1597.995,1396.33,553.48,47.423,8.497,105
1,43,641.841,1585.443,1408.145,553.869,47.248,8.423,104
1,44,641.676,1585.521,1402.004,553.756,47.209,8.448,103
1,45,642.761,1587.146,1405.837,553.654,47.352,8.402,102
1,46,642.458,1586.186,1416.41,554.402,47.454,8.401,101
1,47,641.825,1591.392,1405.554,553.842,46.927,8.47,100
1,48,642.54,1582.238,1401.276,553.721,47.381,8.422,99
1,49,642.3,1585.724,1405.149,554.312,46.732,8.425,98
1,50,642.436,1587.969,1402.133,552.685,47.461,8.505,97
1,51,641.678,1590.294,1402.525,553.52,47.121,8.423,96
1,52,642.964,1589.224,1415.022,554.126,47.499,8.508,95
1,53,642.587,1590.26,1402.983,553.557,47.22,8.479,94
1,54,641.871,1590.133,1403.754,554.096,47.588,8.513,93
1,55,642.741,1580.772,1404.633,552.911,47.276,8.502,92
1,56,642.71,1584.32,1399.091,553.499,47.107,8.415,91
1,57,642.575,1591.794,1408.965,552.323,47.493,8.446,90
1,58,642.632,1593.695,1393.073,553.159,47.571,8.381,89
1,59,643.122,1588.762,1410.674,553.155,47.632,8.489,88
1,60,642.574,1588.284,1407.359,552.995,47.398,8.441,87
1,61,642.654,1591.405,1399.53,553.349,47.811,8.418,86
1,62,642.123,1588.274,1411.092,553.403,47.779,8.484,85
1,63,642.884,1589.742,1420.138,553.28,46.952,8.515,84
1,64,642.311,1588.017,1414.177,552.567,47.146,8.388,83
1,65,642.172,1589.405,1409.614,553.491,47.111,8.361,82
1,66,642.566,1585.82,1409.375,553.689,47.505,8.485,81
1,67,642.657,1589.89,1402.541,553.233,47.526,8.488,80
1,68,642.389,1589.916,1405.327,553.249,47.691,8.377,79
1,69,641.995,1581.966,1393.073,552.953,47.677,8.446,78
1,70,642.68,1592.314,1415.195,553.243,47.834,8.463,77
1,71,642.227,1585.643,1398.502,552.817,47.413,8.493,76
1,72,643.391,1582.556,1409.898,552.726,47.627,8.456,75
1,73,641.806,1591.863,1404.069,552.963,47.248,8.437,74
1,74,642.835,1587.458,1409.83,553.395,47.852,8.451,73
1,75,641.991,1592.549,1406.029,553.756,47.624,8.46,72
1,76,642.826,1596.15,1420.64,553.217,47.575,8.51,71
1,77,642.302,1589.744,1408.185,553.323,47.333,8.405,70
1,78,641.763,1584.009,1405.751,553.003,48.032,8.514,69
1,79,642.276,1589.937,1406.225,552.991,47.601,8.496,68
1,80,642.57,1592.869,1401.981,553.12,48.211,8.481,67
1,81,643.381,1589.047,1412.483,553.072,47.526,8.442,66
1,82,642.944,1585.343,1413.159,553.626,47.667,8.464,65
1,83,642.968,1587.584,1414.947,552.151,47.498,8.397,64
1,84,642.105,1594.343,1414.874,552.69,47.213,8.359,63
1,85,642.547,1598.639,1412.283,552.753,47.712,8.417,62
1,86,642.672,1589.425,1409.328,553.411,47.689,8.507,61
1,87,642.51,1592.689,1419.79,552.513,47.388,8.535,60
1,88,642.748,1594.784,1407.535,553.709,47.65,8.494,59
1,89,643.552,1587.793,1404.717,552.739,47.737,8.422,58
1,90,643.149,1587.156,1417.426,551.749,47.435,8.419,57
1,91,642.505,1590.374,1409.64,552.802,47.599,8.496,56
1,92,642.437,1592.283,1414.869,553.103,47.785,8.501,55
1,93,643.822,1589.181,1409.228,552.516,47.395,8.441,54
1,94,642.52,1589.319,1413.255,552.901,47.469,8.528,53
1,95,643.268,1589.037,1407.512,553.131,47.715,8.436,52
1,96,642.919,1590.798,1406.212,552.934,47.311,8.548,51
1,97,643.526,1588.814,1413.973,551.616,47.393,8.485,50
1,98,642.497,1592.757,1423.959,552.214,47.481,8.507,49
1,99,643.72,1585.085,1413.653,553.695,47.284,8.448,48
1,100,642.819,1587.967,1417.219,552.886,47.261,8.522,47
1,101,642.765,1595.223,1408.764,552.429,47.848,8.533,46
1,102,643.242,1583.46,1415.944,552.211,47.779,8.447,45
1,103,643.257,1587.052,1405.208,553.067,47.788,8.481,44
1,104,643.724,1588.593,1413.284,552.825,47.581,8.526,43
1,105,642.847,1588.787,1421.457,552.152,47.14,8.573,42
1,106,644.249,1588.89,1401.85,552.498,47.68,8.503,41
1,107,642.617,1592.907,1416.809,551.887,47.934,8.594,40
1,108,643.211,1589.318,1413.002,552.922,47.334,8.52,39
1,109,642.974,1598.138,1413.002,553.429,47.499,8.538,38
1,110,643.309,1587.35,1415.305,553.182,47.702,8.449,37
1,111,643.173,1587.296,1412.381,552.516,47.364,8.453,36
1,112,643.414,1588.895,1399.243,552.929,47.867,8.491,35
1,113,642.621,1594.409,1416.923,553.709,47.912,8.537,34
1,114,643.154,1594.414,1418.775,553.123,47.684,8.506,33
1,115,643.03,1594.391,1424.213,552.248,47.717,8.537,32
1,116,643.151,1595.117,1401.911,552.044,47.635,8.433,31
1,117,642.844,1587.73,1414.415,552.994,47.778,8.487,30
1,118,643.269,1595.669,1409.967,551.962,47.987,8.521,29
1,119,643.602,1591.501,1420.234,551.88,47.853,8.523,28
1,120,642.78,1585.384,1420.341,552.202,47.608,8.529,27
1,121,643.852,1582.598,1407.45,551.896,48.237,8.546,26
1,122,643.706,1587.244,1409.916,552.561,47.895,8.558,25
1,123,643.293,1593.001,1417.787,552.705,48.091,8.473,24
1,124,642.383,1595.98,1424.171,551.785,47.432,8.543,23
1,125,643.83,1599.248,1420.349,552.089,47.682,8.542,22
1,126,643.294,1588.082,1429.751,553.147,48.198,8.506,21
1,127,643.83,1594.786,1420.322,552.858,48.082,8.574,20
1,128,643.749,1593.676,1407.174,552.254,47.792,8.495,19
1,129,644.237,1599.315,1426.241,552.319,48.278,8.548,18
1,130,643.588,1588.111,1420.678,552.201,47.623,8.548,17
1,131,643.478,1599.762,1423.873,552.155,48.019,8.553,16
1,132,643.44,1588.329,1417.814,551.755,47.653,8.574,15
1,133,643.725,1585.599,1418.197,552.605,48.239,8.596,14
1,134,643.584,1589.453,1412.645,552.258,48.078,8.608,13
1,135,644.079,1592.392,1411.897,551.904,48.046,8.55,12
1,136,643.342,1594.02,1416.554,551.728,48.079,8.544,11
1,137,643.729,1594.19,1412.957,551.78,48.369,8.515,10
1,138,642.685,1585.739,1420.185,552.014,47.989,8.612,9
1,139,642.452,1594.859,1429.597,551.413,47.933,8.535,8
1,140,643.271,1592.06,1429.012,552.874,47.953,8.643,7
1,141,643.707,1600.469,1420.107,551.999,48.137,8.696,6
1,142,644.092,1590.716,1426.701,551.73,47.932,8.607,5
1,143,643.741,1594.749,1421.192,552.057,48.17,8.495,4
1,144,644.045,1589.798,1412.676,551.838,48.094,8.547,3
1,145,644.137,1588.448,1419.111,551.552,48.07,8.587,2
1,146,643.328,1596.805,1422.154,550.876,47.601,8.578,1
1,147,643.701,1593.586,1421.832,551.913,48.337,8.536,0
2,1,641.473,1580.63,1401.741,554.622,47.092,8.3,201
2,2,641.235,1581.677,1396.675,553.794,47.211,8.388,200
2,3,642.475,1582.312,1394.866,554.235,46.818,8.416,199
2,4,642.051,1584.435,1409.591,553.683,47.718,8.391,198
2,5,641.432,1585.315,1393.628,553.616,47.303,8.423,197
2,6,641.729,1588.996,1407.058,554.707,47.337,8.455,196
2,7,641.165,1583.786,1394.94,554.045,47.063,8.395,195
2,8,642.861,1584.392,1402.656,553.867,47.226,8.402,194
2,9,642.219,1589.746,1410.091,554.134,47.356,8.356,193
2,10,641.98,1588.86,1405.438,554.082,47.432,8.422,192
2,11,642.563,1586.272,1398.145,554.14,46.479,8.418,191
2,12,640.384,1578.236,1403.029,554.207,46.922,8.374,190
2,13,642.646,1583.211,1413.817,553.963,47.317,8.468,189
2,14,642.092,1581.155,1399.743,553.942,46.875,8.393,188
2,15,641.702,1588.88,1400.653,553.814,47.192,8.413,187
2,16,642.318,1581.202,1394.241,554.503,47.117,8.347,186
2,17,642.244,1587.073,1391.353,554.061,47.406,8.419,185
2,18,642.332,1579.622,1402.571,553.79,47.103,8.44,184
2,19,642.718,1592.437,1408.523,553.882,47.314,8.436,183
2,20,642.111,1585.803,1405.628,553.902,47.046,8.389,182
2,21,642.346,1585.314,1402.779,554.261,47.136,8.436,181
2,22,642.235,1580.384,1409.445,553.671,46.819,8.365,180
2,23,641.61,1585.554,1399.202,553.747,47.39,8.421,179
2,24,642.216,1587.008,1404.598,552.856,47.146,8.32,178
2,25,642.095,1585.373,1407.231,554.498,47.29,8.388,177
2,26,642.301,1583.304,1401.008,554.391,47.102,8.441,176
2,27,642.393,1581.621,1406.918,554.242,47.269,8.378,175
2,28,641.706,1583.314,1404.391,553.409,47.356,8.36,174
2,29,642.006,1585.928,1415.868,553.192,47.617,8.416,173
2,30,642.288,1585.988,1403.928,553.797,47.615,8.392,172
2,31,642.618,1582.964,1400.961,553.332,47.368,8.469,171
2,32,642.079,1584.78,1394.699,553.747,46.859,8.375,170
2,33,642.221,1590.87,1418.308,553.561,47.618,8.422,169
2,34,642.056,1587.352,1401.891,553.903,47.16,8.357,168
