rms,spectral_centroid,zero_crossing_rate,label
0.0456,1091.46,0.0809,0
0.0453,1747.22,0.053,0
0.0482,1443.32,0.0688,0
0.0859,2566.62,0.1627,1
0.0504,1816.7,0.0933,0
0.0251,2530.12,0.1038,0
0.0582,2370.87,0.1291,1
0.0281,1700.24,0.055,0
0.0493,1792.57,0.0706,0
0.0385,1709.51,0.071,0
0.0407,1204.21,0.0838,0
0.0274,2023.54,0.0976,0
0.0475,1940.48,0.1341,0
0.0981,2155.55,0.1206,1
0.0835,1932.54,0.1533,1
0.053,2033.19,0.0913,0
0.0486,2402.3,0.082,0
0.0658,1896.63,0.1371,0
0.0635,1695.83,0.0593,0
0.0933,2166.72,0.0819,1
0.0434,2095.79,0.0616,0
0.0341,1809.42,0.0901,0
0.0476,1929.55,0.074,0
0.0928,2710.66,0.1604,1
0.0825,2738.89,0.0817,1
0.0328,1584.99,0.0945,0
0.0415,1809.32,0.1026,0
0.0444,1819.35,0.1004,0
0.0352,1959.59,0.0701,0
0.082,1874.29,0.1314,1
0.0513,1980.26,0.0803,0
0.0563,1638.73,0.0816,0
0.0781,2772.52,0.1503,1
0.0339,2698.95,0.1162,0
0.0457,2162.78,0.0677,0
0.0483,2197.43,0.0585,0
0.0305,1600.91,0.0777,0
0.1006,2397.26,0.1479,1
0.0469,2107.07,0.0677,0
0.0282,1485.75,0.1277,0
0.0449,1160.81,0.0811,0
0.087,1512.62,0.1405,1
0.0328,1867.29,0.0873,0
0.0596,2145.24,0.0903,0
0.0506,1786.2,0.0803,0
0.0514,2058.92,0.1042,0
0.0511,1801.21,0.064,0
0.0431,1427.26,0.0793,0
0.1012,2215.87,0.1998,1
0.0359,1308.59,0.0841,0
0.087,2336.1,0.107,1
0.044,1711.46,0.0909,0
0.081,2437.53,0.1431,1
0.0512,1559.07,0.0857,0
0.0418,1809.95,0.0723,0
0.0332,1483.64,0.0507,0
0.0526,2842.73,0.1538,1
0.1033,2752.12,0.1697,1
0.0454,1049.81,0.0478,0
0.0877,2846.08,0.1729,1
0.0425,1600.13,0.0622,0
0.0457,1567.87,0.0873,0
0.055,1718.53,0.0746,0
0.086,2502.14,0.2006,1
0.0534,1788.6,0.059,0
0.0469,1919.38,0.0748,0
0.025,1847.56,0.0843,0
0.0536,1762.6,0.0821,0
0.0508,2217.14,0.0706,0
0.1185,2540.56,0.1128,1
0.0366,1452.3,0.0706,0
0.0949,2533.04,0.1411,1
0.0509,1677.04,0.0618,0
0.0408,1857.2,0.0484,0
0.0534,1822.37,0.1005,0
0.0225,1457.06,0.0715,0
0.0493,1847.95,0.0766,0
0.0415,1699.14,0.1247,0
0.0375,1356.34,0.0408,0
0.0422,1680.02,0.0404,0
