sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_15,RUL,failure_soon
643.239,1598.756,1409.063,546.905,48.021,8.411,40,0
644.115,1589.055,1404.093,547.132,46.564,8.449,69,0
643.177,1593.635,1401.598,545.802,48.356,8.731,3,1
644.941,1593.509,1419.771,548.299,48.153,8.342,77,0
643.05,1614.132,1416.601,546.202,48.013,8.524,11,1
637.551,1589.7,1398.108,550.369,47.944,8.382,140,0
637.756,1586.334,1410.266,554.668,48.776,8.388,102,0
638.279,1577.603,1405.191,546.581,47.569,8.41,134,0
645.164,1588.377,1426.093,547.927,47.522,8.506,79,0
644.667,1606.06,1397.77,547.65,48.534,8.385,15,1
640.794,1591.461,1411.905,556.448,48.281,8.319,117,0
641.787,1610.701,1416.577,549.568,47.865,8.986,14,1
645.985,1595.401,1406.45,542.887,47.44,8.633,29,1
648.005,1602.33,1389.498,549.421,48.326,8.498,80,0
648.213,1595.155,1413.182,545.98,48.989,8.451,7,1
638.821,1587.921,1402.49,548.904,46.934,8.314,129,0
644.658,1594.497,1398.324,545.065,47.132,8.455,84,0
646.091,1588.779,1409.373,547.525,47.911,8.38,3,1
642.731,1608.295,1402.443,547.21,47.727,8.52,73,0
636.973,1579.058,1405.584,549.378,47.46,8.653,147,0
643.141,1589.141,1432.534,548.622,47.729,8.532,50,0
643.525,1594.557,1424.369,552.409,47.155,8.512,63,0
649.619,1614.722,1411.198,546.479,47.525,8.795,42,0
643.472,1594.518,1400.729,546.417,47.732,8.467,122,0
642.422,1592.801,1402.657,552.132,46.742,8.6,75,0
639.448,1577.852,1405.17,551.168,47.44,8.265,120,0
647.945,1575.11,1419.635,550.008,47.97,8.402,96,0
640.428,1595.686,1394.51,546.916,47.806,8.661,69,0
642.284,1590.087,1398.43,551.207,47.969,8.513,84,0
640.968,1587.195,1409.804,543.349,48.276,8.621,40,0
644.34,1605.808,1419.293,548.706,48.819,8.574,20,1
641.401,1585.765,1413.776,555.69,47.659,8.547,114,0
641.849,1601.03,1405.656,551.519,47.355,8.611,94,0
643.397,1580.755,1410.381,552.695,46.987,8.484,117,0
644.56,1587.653,1402.192,547.975,47.947,8.479,109,0
