tag,description,unit,sampling_sec,ramax,resolution,install_locationnge_min,range_
MTR01_VIB_RMS_H,1번 모터 구동측 수평 진동 실효값,mm/s,60,0,25,0.1,구동측 베어링 하우징 수평
MTR01_VIB_RMS_V,1번 모터 구동측 수직 진동 실효값,mm/s,60,0,25,0.1,구동측 베어링 하우징 수직
동측 베어링 하우징 MTR01_VIB_RMS_A,1번 모터 구동측 축방향 진동 실효값,mm/s,60,0,25,0.1,구축방향
MTR01_VIB_ACC,1번 모터 비구동측 진동 가속도,g,60,0,10,0.01,비구동측 베어링 하우징
MTR01_CURRENT,1번 모터 운전 전류,A,60,0,120,0.5,모터 제어반 전류 변성기
MTR01_VOLT,1번 모터 입력 전압,V,60,0,480,1,모터 제어반 전압 단자
MTR01_POWER,1번 모터 소비 전력(계산값),kW,60,0,75,0.1,계산값 - 전압×전류 기반
MTR01_TEMP,1번 모터 고정자 권선 온도,degC,60,0,180,0.5,고정자 권선 매입 측온저항체
MTR01_RPM,1번 모터 회전수 rpm,rpm,60,0,1800,1,축단 회전수 센서
HYD01_PRESS_IN,1번 유압 유닛 공급 압력,bar,60,0,210,1,펌프 토출 배관
HYD01_PRESS_OUT,1번 유압 유닛 필터 후단 압력,bar,60,0,210,1,필터 후단 배관
HYD01_DP_FILTER,1번 유압 필터 차압(계산값),bar,60,0,210,1,계산값 - 공급압력 - 후단압력
HYD01_FLOW,1번 유압 유닛 펌프 토출 유량,L/min,60,0,200,1,펌프 토출 배관 유량계
HYD01_OILTEMP,1번 유압 유닛 작동유 온도,degC,300,0,120,0.5,유압 탱크 내부
FUR01_TEMP_Z1,1번 가열로 1존 분위기 온도,degC,300,0,1300,0.5,1존 천장 열전대
FUR01_TEMP_Z2,1번 가열로 2존 분위기 온도,degC,300,0,1300,0.5,2존 천장 열전대
