rms,spectral_centroid,zero_crossing_rate,label
0.3139,1559.7601,0.0409,0
0.25,2058.8049,0.0958,0
0.4026,2043.1028,0.1306,1
0.3418,1816.1043,0.0449,0
0.2051,1523.1356,0.0835,0
0.3641,1669.8551,0.0821,0
0.3074,1933.0282,0.0878,0
0.427,2219.052,0.1383,1
0.2404,1724.9025,0.0471,0
0.3115,1651.26,0.0339,0
0.3064,2300.4535,0.0752,0
0.298,1821.3917,0.0863,0
0.4761,2395.5717,0.1157,1
0.4569,2164.8157,0.1234,1
0.5098,2451.7147,0.1154,1
0.4399,2417.2501,0.1075,1
0.2916,1812.5265,0.0907,0
0.2646,1795.0185,0.0784,0
0.2503,2196.6567,0.1148,0
0.3063,1760.9047,0.0907,0
0.2468,1588.5373,0.0564,0
0.2544,2028.4389,0.0833,0
0.3969,2190.3547,0.1358,1
0.3805,2332.187,0.1137,1
0.3863,2279.8901,0.1006,1
0.255,1733.9293,0.0673,0
0.334,1887.0537,0.0594,0
0.4005,2337.5342,0.1348,1
0.2774,2306.4053,0.0962,0
0.3172,1781.6205,0.0836,0
0.3475,2481.6042,0.1372,1
0.3576,2071.5635,0.0895,0
0.3926,2081.9342,0.1424,1
0.333,1551.8504,0.0317,0
0.3518,1952.2578,0.0953,0
0.2793,1847.7194,0.1013,1
0.321,1852.4684,0.0576,0
0.2593,1887.2777,0.1161,0
0.2617,1835.8056,0.0726,0
0.2473,2168.5997,0.0999,0
0.2994,1709.6133,0.0807,0
0.332,2218.1286,0.1568,1
0.3422,2139.0517,0.0979,0
0.3047,1861.5984,0.0569,0
0.4091,2042.8287,0.1391,1
0.4103,2754.7913,0.1455,1
0.2793,1712.0159,0.072,0
0.4381,2423.5195,0.1199,1
0.3211,1348.7816,0.0684,0
0.3119,1753.6575,0.0852,0
0.2683,1884.9304,0.0875,0
0.4159,2220.0974,0.0974,1
0.2794,1509.1133,0.0427,0
0.4163,1949.5734,0.1174,1
0.2803,1741.0813,0.0776,0
0.3208,1644.051,0.0919,0
0.3516,1756.1937,0.0661,0
0.26,1594.0924,0.0749,0
0.3164,2060.3685,0.0685,0
0.4642,2061.4738,0.1205,1
0.3219,2042.5464,0.1073,0
0.3837,1901.5882,0.0988,0
0.3037,1686.3667,0.0929,0
0.3147,2110.9265,0.0744,0
0.3944,1817.3929,0.1197,1
0.245,1856.3458,0.0543,0
0.3016,1884.2981,0.0585,0
0.4367,2476.5967,0.1042,1
0.2814,2188.0238,0.0936,0
0.366,1844.0237,0.103,0
0.3172,2225.8673,0.0939,0
0.2943,1849.5558,0.0731,0
0.2795,1735.3101,0.071,0
0.4597,2283.138,0.1429,1
0.2925,2046.1356,0.0599,0
0.3656,1878.2788,0.0973,0
0.4067,1971.6967,0.1132,1
0.3225,1954.0232,0.0645,0
0.4231,2233.7683,0.1386,1
0.3548,2564.9328,0.108,1
0.2728,1624.0748,0.082,0
0.3187,2055.0777,0.0843,0
0.3121,1919.5949,0.0787,0
0.2562,1890.9142,0.0953,0
0.2172,1502.9514,0.075,0
0.3313,1964.4253,0.0634,0
0.2769,1868.9107,0.0748,0
0.3624,1922.1991,0.0967,1
0.3313,1394.2417,0.1323,0
0.2515,2190.8647,0.0897,0
0.3706,1774.1668,0.0692,0
0.3244,1753.809,0.0772,0
0.2755,1788.2963,0.081,0
0.3069,1825.549,0.0863,0
0.2714,2147.447,0.0559,0
0.2929,2049.6702,0.0447,0
0.2799,1905.6063,0.0225,0
0.2825,2002.8266,0.0521,0
0.311,1754.0253,0.0806,0
0.3079,1662.5647,0.0889,0
0.3965,1613.1289,0.114,0
0.2708,1848.8242,0.0825,0
0.3617,1628.7745,0.0638,0
0.3204,2003.6761,0.1297,0
0.3135,1783.229,0.1083,0
0.3873,2115.4907,0.1176,1
0.4706,2393.3884,0.146,1
0.2375,1561.0432,0.0962,0
0.4487,2301.3371,0.1473,1
0.4312,1816.9634,0.1,1
0.3472,1975.3786,0.12,0
0.4469,1818.2283,0.1324,1
0.2863,1498.727,0.0765,0
0.2472,1479.6225,0.1006,0
0.3547,2251.3638,0.0795,1
0.2365,1573.6339,0.1107,0
0.3134,1937.7307,0.0594,0
0.3345,1724.7775,0.05,0
0.2655,1896.5015,0.1081,0
0.3177,1851.4414,0.0956,0
0.2393,1811.4374,0.1095,0
0.3093,1922.201,0.0673,0
0.3644,2061.6201,0.0444,0
0.2198,2133.1576,0.0664,0
0.323,1869.6653,0.0739,0
0.3391,1527.9125,0.0753,0
0.434,2231.5838,0.1226,1
0.3158,2301.9619,0.0812,0
0.2597,1653.3673,0.0511,0
0.2816,1488.7223,0.0686,0
0.3606,1816.8492,0.0778,0
0.2732,1972.6111,0.0842,0
0.3658,1617.7896,0.0763,0
0.2933,1989.9416,0.1134,0
0.2763,1976.8049,0.104,0
0.2755,1908.1067,0.0531,0
0.3854,2159.8018,0.1207,1
0.4204,2362.9675,0.0998,1
0.3267,1732.3548,0.0682,0
0.2785,1779.5732,0.0557,0
0.3057,1497.8189,0.0754,0
0.3315,1848.6471,0.0287,0
0.2381,1938.8092,0.1356,0
0.2387,1923.5318,0.0763,0
0.3384,1503.6879,0.1187,0
0.3148,1442.4673,0.0417,0
0.3764,2225.9932,0.1181,1
0.3815,1912.9221,0.1454,1
0.355,1958.9436,0.1363,1
0.3393,1886.1128,0.0707,0
0.2568,1514.8636,0.0857,0
0.378,1880.8089,0.0641,0
0.4154,2476.6466,0.1305,1
0.2999,2083.0781,0.1052,0
0.3043,2019.575,0.1232,1
0.3582,2040.6199,0.1027,0
0.2218,1453.8773,0.0841,0
0.4121,1693.4248,0.1155,0
0.2435,2217.0328,0.0978,0
0.2711,1628.1112,0.1007,0
0.3881,1900.7627,0.0738,0
0.2426,1748.6682,0.0665,0
0.3645,2050.9018,0.0944,0
0.3245,1753.9854,0.0765,0
0.3196,1769.3766,0.0806,0
0.3645,1814.8706,0.1026,0
0.4471,1998.7866,0.1459,1
0.2596,1852.8661,0.1157,1
0.3335,1877.6815,0.0809,0
0.3957,2636.9588,0.1434,1
0.2521,1589.0571,0.0851,0
0.3061,1674.5781,0.067,0
0.3327,1179.1372,0.0985,0
0.3141,2426.8185,0.0621,0
0.3987,2052.1908,0.1114,1
0.3655,2130.2434,0.0838,0
0.2637,1979.3895,0.0862,0
0.232,1826.8122,0.0768,0
0.2955,1740.2563,0.0829,0
0.3302,2021.7833,0.062,0
0.3975,2406.5982,0.1024,1
0.2555,1428.0327,0.0908,0
0.2965,1764.4789,0.1051,0
0.3474,1680.2113,0.0608,0
0.2213,1443.0293,0.0973,0
0.3011,1619.5996,0.1291,0
0.4265,2390.9593,0.0911,1
0.301,2120.0187,0.1135,0
0.2788,1903.7847,0.0524,0
0.3978,2200.5806,0.1088,1
0.2328,1659.1035,0.0431,0
0.2161,1859.633,0.0917,0
0.3496,1783.1725,0.0859,0
0.2782,1740.0339,0.0745,0
0.2789,1728.1551,0.0766,0
0.4637,1808.9026,0.122,1
0.2808,1998.0261,0.0964,0
0.2781,1950.7381,0.0701,0
0.3276,1893.2134,0.0545,0
0.3013,1798.3857,0.0972,0
0.3928,1569.5539,0.11,0
0.3945,2174.8085,0.0942,1
0.3258,1709.6235,0.0833,0
0.399,1999.3531,0.1333,1
0.3178,1509.6509,0.0282,0
0.3177,1278.5566,0.0627,0
0.3765,1453.8974,0.0644,0
0.404,1617.5088,0.0428,0
0.3585,1420.5992,0.0828,0
0.3159,2492.264,0.0835,0
0.2408,1734.1177,0.0744,0
0.3175,1835.4149,0.0819,0
0.3503,1694.5832,0.044,0
0.3989,1875.7566,0.1292,1
0.2909,1666.8763,0.0991,0
0.2064,1920.9469,0.0735,0
0.2614,1850.2724,0.0696,0
0.2634,2336.2616,0.0671,0
0.4969,1831.0111,0.1155,1
0.2346,2467.3888,0.0876,0
0.3167,1969.8007,0.1025,0
0.3207,2103.9897,0.0538,0
0.2533,1518.8248,0.0627,0
0.3291,2119.865,0.0791,0
0.2587,1924.4524,0.1116,0
0.2854,1753.3743,0.0713,0
0.2745,2468.216,0.14,1
0.293,1779.344,0.0998,0
0.3634,1640.7553,0.0392,0
0.3483,2319.9305,0.1134,1
0.3279,1703.7558,0.0577,0
0.3856,1939.5202,0.0633,0
0.3402,1364.4417,0.0926,0
0.4434,2264.5865,0.107,1
0.3536,2146.4954,0.1125,1
0.2845,2049.2717,0.0676,0
0.2344,1945.0251,0.0723,0
0.2289,1875.5886,0.092,0
0.2921,1956.5964,0.0802,0
0.2149,1745.8546,0.1022,0
0.4035,2169.3604,0.1217,1
0.3872,1820.985,0.0497,0
0.1626,1620.3112,0.047,0
0.295,2246.1146,0.0722,0
0.4424,2150.298,0.1083,1
0.4272,2025.0775,0.1,1
0.2463,1971.3,0.079,0
0.3272,1561.0578,0.0662,0
0.3186,1683.9872,0.1266,0
0.3148,2131.312,0.097,0
0.2842,1608.4445,0.066,0
0.4291,2410.4119,0.1436,1
0.4387,2218.2112,0.1088,1
0.2583,1530.7661,0.0533,0
0.2923,1834.1914,0.0882,0
0.3744,1772.2193,0.0496,0
0.3341,2056.9919,0.0819,0
0.3374,1167.0729,0.0905,0
0.379,2057.565,0.1335,1
0.2446,1687.5232,0.0344,0
0.2843,1690.606,0.0665,0
0.2301,2292.3026,0.0649,0
0.397,2213.144,0.0718,0
0.2244,1866.9823,0.1063,0
0.2784,1681.0852,0.074,0
0.258,1619.3192,0.0795,0
0.3398,2103.3095,0.0837,0
0.4288,2401.6729,0.1261,1
0.4056,2474.0051,0.136,1
0.2448,1605.0174,0.1067,0
0.406,1957.1807,0.056,0
0.2557,1711.0556,0.0798,0
0.3912,2423.4095,0.1112,1
0.4442,2147.0566,0.124,1
0.2457,1473.3372,0.0325,0
0.2831,1731.4327,0.0987,0
0.2935,1829.6567,0.0713,0
0.2493,1799.1795,0.118,0
0.3313,1655.5131,0.097,0
0.4768,2259.3949,0.0892,1
0.2479,1865.4154,0.0654,0
0.3529,2108.3837,0.1163,1
0.2183,1444.9599,0.0838,0
0.2852,2041.8481,0.0662,0
0.3031,1909.3625,0.0893,0
0.4599,2293.8278,0.111,1
0.3465,1804.4928,0.1063,0
0.2846,1892.7622,0.088,0
0.3999,2125.1044,0.1235,1
0.253,1708.5762,0.0943,0
0.4603,2663.2832,0.1228,1
0.2838,1672.8074,0.0825,0
0.3562,1779.6125,0.0798,0
0.4661,1920.9425,0.1209,1
0.2598,1910.0188,0.0673,0
0.2127,1852.5878,0.0828,0
0.3786,1481.5717,0.0719,0
0.2048,2026.6436,0.0862,0
0.4294,2473.8422,0.1176,1
0.3168,2070.0901,0.0768,0
0.3535,1798.5867,0.0733,0
0.3443,2136.2297,0.0707,0
0.3162,1632.8513,0.0656,0
0.2809,1517.1393,0.0437,0
0.2378,1923.947,0.0942,0
0.4968,2517.274,0.1039,1
0.2871,1850.1639,0.0879,0
0.3185,1814.0633,0.0693,0
0.3218,1750.6012,0.0977,0
0.2482,1963.303,0.1095,0
0.3857,2532.0575,0.1053,1
0.2227,1790.2289,0.0709,0
0.4806,1591.357,0.1038,1
0.2791,1582.359,0.0918,0
0.4524,2435.9857,0.1583,1
0.3185,1746.9353,0.0702,0
0.332,1451.948,0.0427,0
0.2807,1753.2601,0.1004,0
0.3119,1463.0269,0.0951,0
0.3027,2120.7647,0.0818,0
0.317,1772.6976,0.0954,0
0.3254,1816.6788,0.0728,0
0.3406,1179.8624,0.0735,0
0.2711,1954.7356,0.073,0
0.363,1687.2733,0.0706,0
0.2722,1583.3259,0.0971,0
0.4101,2283.479,0.1109,1
0.3117,1517.8163,0.0689,0
0.3631,1805.5485,0.0889,0
0.3342,1757.9843,0.049,0
0.3079,2082.3608,0.0514,0
0.3227,1705.1023,0.0697,0
0.2582,1567.4808,0.0711,0
0.3191,1424.4426,0.0464,0
0.327,1827.0764,0.0795,0
0.355,1418.4499,0.1054,0
0.3137,1551.5504,0.048,0
0.2983,1756.4363,0.0532,0
0.3124,2108.7039,0.0688,0
0.4034,2404.809,0.0994,1
0.3418,1859.5796,0.0739,0
0.253,1727.5222,0.0641,0
0.4881,2291.164,0.1151,1
0.3041,1838.7357,0.0786,0
0.4239,2007.0002,0.0964,1
0.3183,2485.5977,0.1044,1
0.3392,1925.7393,0.0674,0
0.3124,1866.0069,0.096,0
0.3004,2337.5755,0.0896,0
0.2789,1707.4887,0.0852,0
0.2783,1903.2446,0.0822,0
0.3081,1775.3088,0.0714,0
0.3641,1824.2453,0.1396,1
0.1984,2179.3492,0.0915,0
0.3521,2069.7374,0.094,0
0.2276,2521.9975,0.0834,0
0.2666,1443.1154,0.0952,0
0.5185,1784.2111,0.1057,1
0.3353,1728.8598,0.1001,0
0.3222,1539.626,0.0962,0
0.2855,1930.1101,0.088,0
0.4144,2230.5515,0.0957,1
0.4023,2121.4178,0.1252,1
0.2595,1702.414,0.0548,0
0.371,2121.3136,0.0856,0
0.3398,1870.9605,0.0534,0
0.2502,1445.3144,0.058,0
0.2054,1583.7617,0.0958,0
0.3384,1894.0679,0.0841,0
0.4619,2166.3989,0.1087,1
0.2783,1774.8114,0.0931,0
0.2377,2191.3527,0.0632,0
0.2459,1567.375,0.0575,0
0.3761,2267.4484,0.0722,0
0.248,1713.225,0.0794,0
0.3179,1971.4502,0.0862,0
0.4239,2063.9256,0.1221,1
0.2811,1950.457,0.0841,0
0.3375,1835.1262,0.0656,0
0.2513,1958.6227,0.0956,0
0.4237,1813.9021,0.1207,1
0.3481,1812.2584,0.0703,0
0.4353,2235.8442,0.1219,1
0.2884,1571.8351,0.0792,0
0.3279,1844.8547,0.074,0
0.4112,2211.8683,0.0804,1
0.2859,1639.074,0.0875,0
0.3222,1602.9876,0.0815,0
0.3138,2320.4587,0.0725,0
0.3236,1253.0062,0.0865,0
0.2463,1834.6423,0.0813,0
0.3255,2052.9434,0.1013,0
0.4041,2070.3002,0.1066,1
0.2879,1889.2735,0.061,0
0.3935,2296.9202,0.1174,1
0.3724,2282.0637,0.1602,1
0.2981,1677.6508,0.1052,0
0.3192,2038.1952,0.0781,0
0.2971,1747.3018,0.0606,0
0.3542,1528.3405,0.0773,0
0.4065,2210.8137,0.1152,1
0.3468,1774.4437,0.0973,0
0.383,2281.8515,0.1234,1
0.2795,1750.6734,0.0626,0
0.3622,2203.4923,0.142,1
0.2872,1624.6069,0.0509,0
0.3174,1586.957,0.0788,0
0.362,1441.2452,0.082,0
0.3842,2542.1087,0.0892,1
0.2891,1829.5162,0.0668,0
0.2154,2024.7495,0.0954,0
0.1798,1768.8871,0.0654,0
0.3706,2144.4287,0.0873,0
0.3371,1869.6396,0.1112,0
0.2573,1830.3683,0.052,0
0.4433,2412.7358,0.1066,1
0.2689,1878.5206,0.0678,0
0.2882,1462.2018,0.1055,0
0.411,1703.8597,0.1048,1
0.2606,1857.5389,0.0962,0
0.3635,1175.352,0.0932,0
0.2319,1757.765,0.0608,0
0.4077,1725.628,0.0336,0
0.2351,2048.0475,0.1206,0
0.3282,1995.634,0.0856,0
0.3195,1912.6236,0.0487,0
0.2411,1899.62,0.074,0
0.304,1455.571,0.0574,0
0.371,1595.2303,0.1063,0
0.3208,1736.9038,0.0918,0
0.2704,1888.0775,0.0722,0
0.3458,1964.3862,0.0783,0
0.372,1467.252,0.1062,0
0.2937,1569.1683,0.0996,0
0.4346,2079.9826,0.1121,1
0.3297,1668.4259,0.06,0
0.2709,1701.6724,0.0942,0
0.2809,2054.8306,0.0841,0
0.2727,1764.8187,0.0784,0
0.3008,1620.1085,0.1311,0
0.3188,1587.6629,0.0784,0
0.2713,1801.2846,0.0504,0
0.3768,1317.0444,0.0778,0
0.2957,2006.2645,0.0144,0
0.3328,1723.8026,0.0688,0
0.4163,1931.6963,0.0474,0
0.276,2122.2018,0.0719,0
0.4125,2255.92,0.1237,1
0.2712,2176.0551,0.0832,0
0.3962,1720.8625,0.126,1
0.2836,1621.2016,0.1051,0
0.4267,2219.895,0.1535,1
0.3193,2361.2088,0.1376,1
0.2242,1964.2634,0.0804,0
0.2024,1765.8631,0.0616,0
0.3264,2250.637,0.0744,0
0.2966,1749.1085,0.0634,0
0.4346,2458.751,0.1263,1
0.3163,1582.0404,0.081,0
0.3116,1700.8923,0.0728,0
0.2599,1849.5579,0.1247,0
0.2844,2048.1569,0.0787,0
0.3183,1461.7334,0.1053,0
0.4104,2230.7412,0.1263,1
0.3297,1938.0111,0.0764,0
0.3465,2374.7149,0.0911,0
0.2437,1745.1893,0.0932,0
0.3615,2072.8595,0.1445,1
0.3217,2078.317,0.0563,0
0.3895,2198.9977,0.1449,1
0.4793,1926.0719,0.1223,1
0.3155,1760.5453,0.0515,0
0.3641,1709.8778,0.0868,0
0.2456,2045.923,0.1026,0
0.2538,1570.1229,0.0507,0
0.3941,2105.2378,0.1207,1
0.3028,1554.8103,0.1169,0
0.311,1838.6263,0.1102,0
0.2871,1943.1904,0.075,0
0.3041,1791.094,0.0806,0
0.1892,1712.4177,0.0314,0
0.4447,2026.6014,0.1372,1
0.3338,2033.1153,0.1172,1
0.2786,1515.5932,0.087,0
0.2616,1787.1912,0.0838,0
0.3113,1505.0234,0.0841,0
0.3336,1646.2259,0.0674,0
0.5118,2273.3219,0.1316,1
0.2474,1933.0922,0.1047,0
0.2589,2173.257,0.1546,0
0.2931,1702.7604,0.0815,0
0.2452,1822.4843,0.0478,0
0.3513,1843.8911,0.0705,0
0.2759,1864.9505,0.0514,0
0.2783,1496.4397,0.0799,0
0.2912,1745.6276,0.0651,0
0.345,1756.1094,0.099,0
0.3977,1815.5513,0.1051,0
0.292,1544.681,0.102,0
0.3195,1693.8459,0.0826,0
0.3088,1383.1841,0.118,0
0.3076,1915.3246,0.048,0
0.268,1538.2286,0.0687,0
0.3097,1779.2448,0.1396,0
0.2882,2221.1446,0.0801,0
